City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Sinnai,IT,76.48,clear sky,39.3042,9.2036,La Rosa Dei Venti Sardinya
15,Naze,JP,88.72,clear sky,28.3667,129.4833,Shishime Hotel
20,Kathu,TH,85.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
23,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
25,Katsuura,JP,84.6,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
32,Butaritari,KI,81.7,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
34,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
35,Seoul,KR,80.2,thunderstorm with light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
36,Kirakira,SB,82.13,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
39,Murgab,TM,84.07,clear sky,37.4966,61.9714,Wepa Nurlyýew
42,Marsh Harbour,BS,83.08,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
43,Dingle,PH,83.86,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
52,Hilo,US,83.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Tweed,CA,77.99,broken clouds,44.4751,-77.3162,Stoco Lake Lodge
55,Kavieng,PG,83.37,light rain,-2.5744,150.7967,Nusa Island Retreat
56,Karratha,AU,78.04,clear sky,-20.7377,116.8463,ibis Styles Karratha
60,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
63,Khlung,TH,80.11,moderate rain,12.4547,102.2214,Bai Phai Resort
64,Portland,US,88.09,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
66,Hamilton,US,77.77,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
71,Isangel,VU,80.37,clear sky,-19.55,169.2667,Tanna Lodge
73,Bethel,US,79.9,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
77,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
80,Telhara,IN,80.35,moderate rain,21.0269,76.8389,Sarodes home
81,Labuhan,ID,86.58,few clouds,-6.8844,112.2051,DoubleFAG
82,Awjilah,LY,77.02,clear sky,29.1081,21.2869,المنزل
84,Cabo San Lucas,MX,85.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
