Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Baykit,RU,61.67,96.37,70.02,54,59,3.22,light rain
1,Castro,BR,-24.7911,-50.0119,56.25,96,100,6.78,moderate rain
2,Puerto Ayora,EC,-0.7393,-90.3518,67.55,96,41,7.0,scattered clouds
3,Omaruru,NA,-21.4333,15.9333,55.92,44,38,4.72,scattered clouds
4,Bure,ET,10.7,37.0667,56.71,99,100,1.99,heavy intensity rain
5,Sinnai,IT,39.3042,9.2036,76.48,79,0,5.75,clear sky
6,Mataura,NZ,-46.1927,168.8643,42.48,69,7,9.44,clear sky
7,Torbay,CA,47.6666,-52.7314,69.58,91,100,21.85,overcast clouds
8,La Macarena,CO,2.1837,-73.7849,71.6,97,9,2.13,clear sky
9,Maksatikha,RU,57.797,35.8825,53.08,87,37,2.04,scattered clouds
10,Pevek,RU,69.7008,170.3133,33.06,89,100,13.85,overcast clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,70.12,88,98,4.88,overcast clouds
12,Albany,US,42.6001,-73.9662,77.41,88,0,3.04,clear sky
13,Tiksi,RU,71.6872,128.8694,51.31,94,100,8.84,light rain
14,Punta Arenas,CL,-53.15,-70.9167,35.71,87,20,8.05,few clouds
15,Naze,JP,28.3667,129.4833,88.72,69,4,5.68,clear sky
16,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,0,5.53,clear sky
17,Dikson,RU,73.5069,80.5464,41.94,100,100,4.36,overcast clouds
18,Iqaluit,CA,63.7506,-68.5145,40.73,87,75,0.0,broken clouds
19,Cape Town,ZA,-33.9258,18.4232,56.26,88,0,4.0,clear sky
20,Kathu,TH,7.9178,98.3332,85.82,69,100,1.59,overcast clouds
21,Talnakh,RU,69.4865,88.3972,57.96,92,100,5.57,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,54.9,42,3,2.08,clear sky
23,Bathsheba,BB,13.2167,-59.5167,83.01,95,75,17.27,broken clouds
24,Sladkovo,RU,55.5284,70.3385,67.69,57,91,11.52,overcast clouds
25,Katsuura,JP,35.1333,140.3,84.6,76,47,18.75,scattered clouds
26,Rikitea,PF,-23.1203,-134.9692,70.32,77,100,36.93,light rain
27,Tasiilaq,GL,65.6145,-37.6368,41.16,98,100,5.37,overcast clouds
28,Ushuaia,AR,-54.8,-68.3,33.46,75,20,4.61,few clouds
29,Port Elizabeth,ZA,-33.918,25.5701,59.29,97,100,12.66,heavy intensity rain
30,Khatima,IN,28.9167,79.9667,91.02,56,98,3.09,overcast clouds
31,Plettenberg Bay,ZA,-34.0527,23.3716,58.95,85,99,7.63,light rain
32,Butaritari,KI,3.0707,172.7902,81.7,75,92,12.15,overcast clouds
33,Pietersburg,ZA,-23.9045,29.4688,49.05,62,0,0.0,clear sky
34,Jamestown,US,42.097,-79.2353,76.59,68,0,8.05,clear sky
35,Seoul,KR,37.5683,126.9778,80.2,95,100,11.5,thunderstorm with light rain
36,Kirakira,SB,-10.4544,161.9205,82.13,73,90,7.47,heavy intensity rain
37,Malanje,AO,-9.5402,16.341,61.48,32,0,4.38,clear sky
38,Barrow,US,71.2906,-156.7887,44.62,76,100,21.85,overcast clouds
39,Murgab,TM,37.4966,61.9714,84.07,37,0,4.61,clear sky
40,Bredasdorp,ZA,-34.5322,20.0403,57.29,88,100,2.98,overcast clouds
41,Nanortalik,GL,60.1432,-45.2371,44.83,77,43,3.0,scattered clouds
42,Marsh Harbour,BS,26.5412,-77.0636,83.08,71,29,11.54,scattered clouds
43,Dingle,PH,10.9995,122.6711,83.86,75,94,4.94,overcast clouds
44,Raudeberg,NO,61.9875,5.1352,53.96,66,100,15.97,overcast clouds
45,Agadez,NE,19.75,10.25,89.13,19,48,7.83,scattered clouds
46,Hobart,AU,-42.8794,147.3294,55.26,68,20,4.61,few clouds
47,Chiredzi,ZW,-21.05,31.6667,48.18,81,0,0.0,clear sky
48,Hermanus,ZA,-34.4187,19.2345,50.81,84,41,5.06,scattered clouds
49,Paita,PE,-5.0892,-81.1144,63.37,82,2,13.44,clear sky
50,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,87,77,4.81,broken clouds
51,Ancud,CL,-41.8697,-73.8203,39.02,89,5,3.58,clear sky
52,Hilo,US,19.7297,-155.09,83.28,80,40,6.91,scattered clouds
53,Tweed,CA,44.4751,-77.3162,77.99,95,72,2.3,broken clouds
54,Khatanga,RU,71.9667,102.5,61.41,55,69,9.42,broken clouds
55,Kavieng,PG,-2.5744,150.7967,83.37,74,27,12.46,light rain
56,Karratha,AU,-20.7377,116.8463,78.04,17,5,6.6,clear sky
57,Orlik,RU,52.5178,99.825,66.13,35,1,0.78,clear sky
58,Leningradskiy,RU,69.3833,178.4167,32.9,95,99,19.64,light snow
59,Mount Isa,AU,-20.7333,139.5,74.97,15,0,10.36,clear sky
60,Port Hedland,AU,-20.3167,118.5667,80.65,16,40,9.22,scattered clouds
61,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,40,3.44,scattered clouds
62,Port Alfred,ZA,-33.5906,26.891,57.18,99,88,17.72,heavy intensity rain
63,Khlung,TH,12.4547,102.2214,80.11,90,100,8.16,moderate rain
64,Portland,US,45.5234,-122.6762,88.09,39,20,8.05,few clouds
65,Esperance,AU,-33.8667,121.9,62.67,63,31,19.19,scattered clouds
66,Hamilton,US,39.1834,-84.5333,77.77,89,0,8.05,clear sky
67,Busselton,AU,-33.65,115.3333,55.33,78,98,20.89,overcast clouds
68,Bluff,NZ,-46.6,168.3333,42.8,57,17,21.65,few clouds
69,Provideniya,RU,64.3833,-173.3,39.36,65,75,15.99,broken clouds
70,Aleksandrovka,UA,46.8383,32.7612,73.62,43,0,8.86,clear sky
71,Isangel,VU,-19.55,169.2667,80.37,74,6,2.44,clear sky
72,Lompoc,US,34.6391,-120.4579,64.54,86,0,9.22,clear sky
73,Bethel,US,41.3712,-73.414,79.9,89,0,0.0,clear sky
74,Longyearbyen,SJ,78.2186,15.6401,46.24,87,75,9.22,light rain
75,Kodiak,US,57.79,-152.4072,63.91,52,0,5.75,clear sky
76,Poum,NC,-20.2333,164.0167,75.15,76,3,16.62,clear sky
77,Kapaa,US,22.0752,-159.319,79.12,80,75,10.36,broken clouds
78,Eyrarbakki,IS,63.863,-21.1481,48.25,82,63,18.32,light rain
79,Kaitangata,NZ,-46.2817,169.8464,42.48,58,37,12.91,scattered clouds
80,Telhara,IN,21.0269,76.8389,80.35,84,100,11.95,moderate rain
81,Labuhan,ID,-6.8844,112.2051,86.58,58,14,1.86,few clouds
82,Awjilah,LY,29.1081,21.2869,77.02,70,0,8.72,clear sky
83,Belaya Gora,RU,68.5333,146.4167,71.67,41,61,6.76,broken clouds
84,Cabo San Lucas,MX,22.8909,-109.9124,85.51,76,88,2.37,overcast clouds
85,Stulovo,RU,58.7225,50.1439,71.82,67,12,3.94,few clouds
86,Tulum,MX,20.2167,-87.4667,78.26,91,100,4.29,overcast clouds
