City_ID,City,Country,Date,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
0,Yar-Sale,RU,2022-08-06 04:32:57,68.67,66.8333,70.8333,58,63,13.0
1,Busselton,AU,2022-08-06 04:32:57,58.89,-33.65,115.3333,62,99,14.18
2,Sidney,AU,2022-08-06 04:32:28,68.31,-33.8679,151.2073,39,0,17.27
3,Det Udom,TH,2022-08-06 04:32:57,87.62,14.906,105.0784,78,100,11.92
4,Darab,IR,2022-08-06 04:32:58,91.89,28.7519,54.5444,17,0,5.23
5,Albany,US,2022-08-06 04:32:58,73.92,42.6001,-73.9662,89,79,2.95
6,Meulaboh,ID,2022-08-06 04:32:59,84.67,4.1363,96.1285,63,85,2.59
7,Cabo San Lucas,MX,2022-08-06 04:32:59,87.62,22.8909,-109.9124,71,72,7.23
8,Bardiyah,LY,2022-08-06 04:33:00,78.76,31.7561,25.0865,74,0,15.97
9,New Norfolk,AU,2022-08-06 04:33:00,47.91,-42.7826,147.0587,70,66,3.0
10,Pailitas,CO,2022-08-06 04:33:00,74.34,8.9565,-73.6255,98,100,2.39
11,Qaanaaq,GL,2022-08-06 04:33:00,36.07,77.484,-69.3632,64,31,4.05
12,Svetlyy,RU,2022-08-06 04:33:01,66.25,54.675,20.1347,76,100,15.14
13,Ostrovnoy,RU,2022-08-06 04:33:01,66.02,68.0531,39.5131,81,100,17.72
14,Lagos,NG,2022-08-06 04:32:47,73.72,6.5833,3.75,92,80,2.95
15,Barrow,US,2022-08-06 04:33:01,39.22,71.2906,-156.7887,93,100,8.05
16,Hithadhoo,MV,2022-08-06 04:33:02,82.4,-0.6,73.0833,72,81,10.49
17,Bredasdorp,ZA,2022-08-06 04:33:03,53.17,-34.5322,20.0403,88,99,4.12
18,Hobart,AU,2022-08-06 04:30:06,48.25,-42.8794,147.3294,82,75,10.36
19,Sierre,CH,2022-08-06 04:33:03,67.55,46.2919,7.5356,93,90,1.16
20,Astoria,US,2022-08-06 04:33:04,61.72,46.1879,-123.8313,84,0,4.61
21,Ternate,ID,2022-08-06 04:33:04,82.31,0.8,127.4,75,100,3.49
22,Cape Town,ZA,2022-08-06 04:30:47,55.9,-33.9258,18.4232,90,20,12.66
23,Maroua,CM,2022-08-06 04:33:05,72.25,10.591,14.3159,82,100,5.37
24,Mar Del Plata,AR,2022-08-06 04:29:41,42.1,-38.0023,-57.5575,90,0,4.61
25,Port Alfred,ZA,2022-08-06 04:33:05,52.18,-33.5906,26.891,91,71,1.01
